,標準代號,第8次 小業別,擴大書審純益率,所得額標準,毛利率,費用率,淨利率
110,,,,,毛利率,費用率,淨利率
111,0895--11,粗製茶,3,4,11,6,5
112,0895--12,精製茶,3,5,14,8,6
113,0896--11,味精製造,6,7,23,14,9
114,0896--13,醬油製造,6,8,22,12,10
115,0896--14,調味醬製造,6,8,22,12,10
116,0896--15,食用醋製造,6,8,22,12,10
117,0896--99,其他調味品製造,6,8,22,12,10
118,0897--14,膳食及菜餚罐頭製造,6,7,24,16,8
119,0897--99,其他膳食及菜餚製造,6,6,26,19,7
120,0899--11,酵母製造,6,9,23,12,11
121,0899--12,食用冰棒及食用冰塊製造,6,10,31,19,12
122,0899--13,非乳製食用冰品製造,6,10,42,30,12
123,0899--14,蛋製品製造,6,9,23,12,11
124,0899--15,肉汁製造,6,9,23,12,11
125,0899--16,咖啡粉製造,6,11,28,14,14
126,0899--17,冷藏餐盒食品製造,6,9,23,13,10
127,0899--18,速食湯包製造,6,9,23,12,11
128,0899--19,特殊營養食品製造,6,9,23,12,11
129,0899--21,果汁粉製造,6,11,27,14,13
130,0899--99,其他未分類食品製造,6,9,23,12,11
131,,酒精飲料製造業,,,,,
132,0919--00,其他酒精飲料製造,6,9,64,53,11
133,,非酒精飲料製造業,,,,,
134,0920--11,蔬果汁飲料製造,6,9,23,12,11
135,0920--12,碳酸飲料製造,6,11,43,30,13
136,0920--13,咖啡飲料製造,6,10,33,21,12
137,0920--14,包裝飲用水製造,6,11,42,28,14
138,0920--16,機能性飲料製造,6,11,43,30,13
139,0920--17,茶類飲料製造,6,9,22,12,10
140,0920--99,其他非酒精飲料製造,6,9,23,12,11
141,,紡紗業,,,,,
142,1111--12,棉紡紗(線)紡製,4,5,34,28,6
143,1111--13,棉混紡紗(線)紡製,4,5,31,25,6
144,1111--14,毛紡紗紡製,4,5,35,29,6
145,1112--11,聚酯棉混紡紗(線)紡製,4,6,34,27,7
146,1112--12,聚胺棉混紡紗(線)紡製,4,6,34,27,7
147,1112--13,聚丙烯腈棉混紡紗(線)紡製,4,6,34,27,7
148,1112--99,其他人造纖維紡紗紡製,4,6,34,27,7
149,1119--11,蠶絲紗(線)紡製,4,5,18,12,6
150,1119--12,瓊麻絲紗(線)紡製,6,6,17,10,7
151,1119--13,麻紗(線)紡製,4,5,28,22,6
152,1119--14,韌性植物纖維紡前處理,6,7,20,12,8
153,,織布業,,,,,
154,1121--11,棉梭織布製造,4,5,20,14,6
155,1121--12,棉混紡梭織布製造,4,5,20,14,6
156,1121--13,棉毛巾布製造,4,5,20,14,6
157,1121--14,毛梭織布製造,4,5,34,28,6
158,1122--11,聚酯纖維梭織布製造,4,5,30,24,6
159,1122--12,尼龍纖維梭織布製造,4,5,31,25,6
160,1122--99,其他人造纖維梭織布製造,4,5,32,26,6
161,1123--00,玻璃纖維梭織布製造,6,9,34,24,10
162,1124--11,圓編針織布製造,4,6,31,24,7
163,107年度營利事業各業所得額暨同業利潤標準,,,,,,
164,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
165,,,,毛利率,費用率,淨利率,
166,1124--12,經編針織布製造,4,6,31,24,7
167,1124--99,其他針織布製造,4,6,31,24,7
168,1129--11,蠶絲梭織布製造,4,5,19,13,6
169,1129--12,麻絲梭織布製造,6,7,20,12,8
170,,不織布業,,,,,
171,1130--00,不織布製造,6,6,24,17,7
172,,染整業,,,,,
173,1140--11,梭織布染整,6,7,24,16,8
174,1140--12,針織布染整,6,7,24,16,8
175,1140--99,其他染整,6,7,24,16,8
176,,紡織品製造業,,,,,
177,1151--11,毛巾物製造,5,7,18,10,8
178,1151--12,寢具用品製造,6,6,19,12,7
179,1151--13,帆布製品製造,6,6,17,10,7
180,1151--14,睡袋、帳篷、雨篷、遮陽篷製造,6,6,19,12,7
181,1151--15,車套、車用椅套製造,6,6,24,17,7
182,1151--16,墊子製造,6,6,19,12,7
183,1151--17,窗簾、沙發套、椅套、桌巾製造,6,6,19,12,7
184,1151--18,背帶製造,6,7,18,10,8
185,1151--19,毛毯製造,6,7,17,9,8
186,1151--99,其他紡織製成品製造,6,6,17,10,7
187,1152--11,繩纜製造,6,6,17,10,7
188,1152--12,製網,6,7,19,11,8
189,1152--13,繩、纜、網加工,6,10,24,12,12
190,1152--14,漁網編製,6,7,19,11,8
191,1159--11,刺繡品織製,6,11,26,14,12
