,標準代號,第8次 小業別,擴大書審純益率,所得額標準,毛利率,費用率,淨利率
531,2859--16,家用洗衣設備製造,6,8,27,17,10
532,2859--17,家用電扇製造,6,7,29,20,9
533,2859--99,未分類其他家用電器製造,6,8,27,17,10
534,,其他電力設備及配備製造業,,,,,
535,2890--11,電源供應器製造,6,8,27,17,10
536,2890--99,未分類其他電力設備及配備製造,6,8,26,16,10
537,,金屬加工用機械設備製造業,,,,,
538,2911--00,冶金機械製造,6,8,27,17,10
539,2912--11,金屬用車床、銑床、鑽床製造,6,7,21,12,9
540,2912--99,其他金屬切削工具機製造,6,8,27,17,10
541,2919--00,其他金屬加工用機械設備製造,6,8,27,17,10
542,,其他專用機械設備製造業,,,,,
543,2921--11,整地、播種及收穫機械設備製造,5,7,23,15,8
544,2921--12,農業機械零配件製造,6,8,27,17,10
545,2921--99,其他農用及林用機械設備製造,6,8,27,17,10
546,2922--00,採礦及營造用機械設備製造,6,7,21,12,9
547,107年度營利事業各業所得額暨同業利潤標準,,,,,,
548,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
549,,,,毛利率,費用率,淨利率,
550,2923--00,食品、飲料及菸草製作用機械設備製造,6,9,28,17,11
551,2924--11,紡織機械設備製造,6,8,22,12,10
552,2924--12,成衣機械設備製造,6,8,27,17,10
553,2924--13,製鞋機製造,6,7,21,13,8
554,2924--99,"其他紡織、成衣及皮革生產用機械設備製造",6,7,21,13,8
555,2925--00,木工機械設備製造,6,7,24,16,8
556,2926--00,化工機械設備製造,6,7,21,13,8
557,2927--00,橡膠及塑膠加工用機械設備製造,6,9,28,17,11
558,2928--00,電子及半導體生產用機械設備製造,6,7,21,13,8
559,2929--11,造紙機械設備製造,6,7,21,12,9
560,2929--12,印刷機械設備製造,6,7,21,12,9
561,2929--99,其他未分類專用機械設備製造,6,7,21,13,8
562,,通用機械設備製造業,,,,,
563,2931--11,渦輪機製造,6,9,28,17,11
564,2931--12,"引擎(汽、機車及飛機除外)、內燃機製造",6,7,20,11,9
565,2933--11,活栓、活閥製造,6,7,21,13,8
566,2933--12,泵(幫浦)製造,6,7,25,16,9
567,2933--13,壓縮機製造,6,7,25,16,9
568,2934--11,齒輪製造,6,9,28,17,11
569,2934--12,軸承製造,6,9,28,17,11
570,2934--99,其他機械傳動設備製造,6,9,28,17,11
571,2935--11,電梯(升降機)、電扶梯製造,6,9,28,17,11
572,2935--12,輸送機、堆高機、起重機製造,6,9,28,17,11
573,2935--13,千斤頂製造,6,6,24,17,7
574,2935--99,其他輸送機械設備製造,6,9,28,17,11
575,2936--00,事務機械設備製造,6,7,20,12,8
576,2937--00,污染防治設備製造,6,9,28,18,10
577,2938--00,動力手工具製造,6,8,27,17,10
578,2939--11,散熱器製造,6,8,27,17,10
579,2939--12,汽車冷氣系統製造,6,8,27,17,10
580,2939--13,太陽能熱水器製造,6,8,27,17,10
581,2939--14,包裝機、打包機製造,6,8,26,17,9
582,2939--16,自動販賣機製造,6,8,27,17,10
583,2939--17,抽通風機製造,6,8,26,16,10
584,2939--18,中央空調系統製造,6,8,27,17,10
585,2939--19,產業用飲水設備製造,6,7,21,13,8
586,2939--99,未分類其他通用機械設備製造,6,6,24,17,7
587,,汽車製造業,,,,,
588,3010--11,客車製造,6,11,39,24,15
589,3010--12,貨車製造,6,11,39,24,15
590,3010--99,其他汽車製造,6,11,39,24,15
591,,車體製造業,,,,,
592,3020--11,貨櫃製造,6,7,21,12,9
593,3020--12,汽車車體、車身製造,6,10,31,20,11
594,,汽車零件製造業,,,,,
595,3030--11,汽車電力系統製造,6,10,35,22,13
596,3030--12,汽車傳動系統製造,6,10,36,23,13
597,3030--99,其他汽車零件製造,6,10,34,21,13
598,,船舶及浮動設施製造業,,,,,
599,3110--11,船舶建造(鐵殼),6,6,25,18,7
600,107年度營利事業各業所得額暨同業利潤標準,,,,,,
601,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
602,,,,毛利率,費用率,淨利率,
603,3110--12,船舶建造(木殼),6,6,26,19,7
604,3110--13,船舶建造(玻璃纖維),6,6,26,19,7
605,3110--14,海上結構物製造,6,13,39,22,17
606,,機車及其零件製造業,,,,,
607,3121--00,機車製造,6,10,35,21,14
608,3122--00,機車零件製造,6,9,28,17,11
609,,自行車及其零件製造業,,,,,
610,3131--00,自行車製造,6,8,24,14,10
611,3132--00,自行車零件製造,6,8,24,14,10
612,,未分類其他運輸工具及其零件製造業,,,,,
613,3190--11,代步車製造,6,9,36,25,11
614,3190--12,無動力車輛及其零件製造,6,7,19,11,8
615,3190--14,航空器及其零件製造,6,16,39,19,20
616,3190--15,嬰兒車製造,6,9,23,12,11
617,3190--99,其他未分類運輸工具及其零件製造,6,9,35,24,11
618,,非金屬家具製造業,,,,,
619,3211--00,木製家具製造,6,6,20,13,7
620,3219--11,玻璃纖維強化塑膠家具及裝設品製造,6,7,21,13,8
621,3219--12,塑膠家具及裝設品製造,6,7,21,13,8
622,3219--99,未分類其他非金屬家具製造,6,7,21,13,8
623,,金屬家具製造業,,,,,
624,3220--00,金屬家具製造,6,7,19,11,8
625,,育樂用品製造業,,,,,
626,3311--11,高爾夫球用品製造,6,7,20,11,9
627,3311--12,室內健身器材製造,6,7,20,11,9
628,3311--99,其他體育用品製造,6,7,20,11,9
629,3312--11,電動玩具製造,6,10,30,18,12
630,3312--12,電子玩具製造,6,10,30,18,12
631,3312--99,其他玩具及遊戲機製造,6,9,28,17,11
632,3313--00,樂器製造,6,7,20,11,9
633,3314--00,文具製造,6,7,14,6,8
634,,醫療器材及用品製造業,,,,,
635,3321--00,眼鏡製造,6,9,23,12,11
636,3329--00,其他醫療器材及用品製造,6,6,21,11,10
637,,未分類其他製造業,,,,,
638,3391--12,珠寶及貴金屬飾物製造,6,8,30,20,10
639,3391--13,金屬飾物製造,6,8,31,21,10
640,3391--99,其他珠寶及金工製品製造,6,8,30,20,10
641,3392--11,拉鍊製造,5,7,22,12,10
642,3392--12,鈕扣製造,6,9,23,12,11
643,3399--11,傘製造,6,6,27,20,7
644,3399--12,非金屬飾物製造,6,8,32,22,10
645,3399--13,清潔用具製造,6,6,13,6,7
646,3399--14,祭祀用香製造,6,9,23,12,11
647,3399--15,人造花製造,6,8,17,8,9
648,3399--16,羽毛製品製造,6,8,17,8,9
649,3399--17,保溫容器製造,6,7,30,22,8
650,3399--18,安全帽製造,6,9,29,18,11
651,3399--19,手工藝品製造,6,8,32,22,10
652,3399--99,未分類其他工業製品製造,6,6,13,6,7
653,,產業用機械設備維修及安裝業,,,,,
654,3400--11,鍋爐、金屬貯槽及壓力容器維修及安裝,6,8,20,10,10
655,107年度營利事業各業所得額暨同業利潤標準,,,,,,
656,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
657,,,,毛利率,費用率,淨利率,
658,3400--12,船舶維修,6,12,38,22,16
659,3400--13,航空器維修,6,16,36,18,18
660,3400--14,軌道車輛維修,7,8,20,10,10
661,3400--15,電力機械器材及設備維修及安裝,7,8,20,10,10
662,3400--16,金屬加工機械維修及安裝,7,8,20,10,10
663,3400--17,通用機械設備維修及安裝,7,8,20,10,10
664,3400--99,其他產業用機械設備維修及安裝,7,8,20,10,10
665,D.電力及燃氣供應業,,,,,,
666,,電力供應業,,,,,
667,3510--00,電力供應,(10),13,23,6,17
668,,氣體燃料供應業,,,,,
669,3520--00,氣體燃料供應,6,13,38,20,18
670,3530--11,熱能供應,6,13,38,20,18
671,E.用水供應及污染整治業,,,,,,
672,,廢(污)水處理業,,,,,
673,3700--00,廢水及污水處理,6,11,53,38,15
674,,廢棄物清除業,,,,,
675,3811--11,一般事業廢棄物清除,6,9,46,34,12
676,3811--12,公共場所及家庭垃圾清除,6,11,53,38,15
677,3811--13,建築廢棄物清除,6,9,51,38,13
678,3811--14,資源回收物清除,6,11,52,38,14
679,3812--11,有害事業廢棄物清除,6,12,54,38,16
680,,廢棄物處理業,,,,,
681,3821--11,一般事業廢棄物處理,6,10,45,32,13
682,3821--12,一般廢棄物處理,6,12,54,38,16
683,3821--13,堆肥處理,4,7,32,24,8
684,3822--00,有害廢棄物處理,6,13,55,38,17
685,,資源回收處理業,,,,,
686,3830--11,廢車船拆解,6,7,22,13,9
687,3830--12,廢鋼鐵及廢五金處理,6,7,22,14,8
688,3830--13,廢塑膠及廢輪胎處理,6,7,22,14,8
689,3830--14,廢玻璃處理成碎玻璃砂,6,7,22,14,8
690,3830--99,其他資源回收處理,6,7,22,14,8
691,,污染整治業,,,,,
692,3900--11,受污染土地整治,7,8,19,10,9
693,3900--99,其他污染整治,6,12,55,38,17
694,F.營建工程業,,,,,,
695,,建築工程業,,,,,
696,4100--11,房屋修繕,7,8,21,11,10
697,4100--12,活動房屋營建,7,8,21,11,10
698,4100--13,住宅營建,6,7,18,10,8
699,4100--14,機械式停車塔營建,7,8,20,10,10
700,4100--15,焚化廠及廢棄物處理廠營建,7,10,24,11,13
701,4100--16,納骨塔營建,8,11,45,30,15
702,4100--99,其他建築工程,6,7,18,10,8
703,,道路工程業,,,,,
704,4210--00,道路工程,7,8,21,11,10
705,,公用事業設施工程業,,,,,
706,4220--12,污水處理廠營建,7,8,19,10,9
707,4220--13,市區下水道土木工程,7,8,19,10,9
708,4220--14,市區電力及電信線路工程,7,8,19,10,9
709,4220--15,自來水總管及市區管線營建,7,8,19,10,9
710,107年度營利事業各業所得額暨同業利潤標準,,,,,,
711,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
712,,,,,毛利率,費用率,淨利率
713,4220--17,水井鑚鑿工程,7,8,21,11,10
714,,其他土木工程業,,,,,
715,4290--11,淤泥疏濬工程,7,8,21,11,10
716,4290--12,水路、海港、河流、碼頭工程,7,8,20,11,9
717,4290--13,室外運動場營建,7,8,19,10,9
718,4290--99,未分類其他土木工程,7,8,19,10,9
719,,整地、基礎及結構工程業,,,,,
720,4310--11,建築鋼架組立,7,10,24,11,13
721,4310--12,砌磚工程,7,9,22,11,11
722,4310--13,建築物拆除,7,12,28,13,15
723,4310--14,檔土支撐及土方工程,7,8,21,11,10
724,4310--15,基礎工程,7,8,21,11,10
725,4310--17,紮鋼筋工程,7,10,24,11,13
726,4310--18,帷幕牆工程,7,10,24,11,13
727,4310--19,預拌混凝土工程,7,9,22,11,11
728,4310--21,石作工程,7,9,22,11,11
729,,庭園景觀工程業,,,,,
730,4320--00,庭園景觀工程,7,8,21,11,10
731,,機電、管道及其他建築設備安裝業,,,,,
732,4331--11,水電工程,7,8,19,10,9
733,4331--12,電路工程,7,8,19,10,9
734,4331--13,電梯、電扶梯、升降機裝修工程,7,8,20,10,10
735,4331--14,公路號誌裝修工程,7,9,22,11,11
736,4331--15,消防警報系統裝修工程,7,8,21,11,10
737,4331--16,監視系統裝修工程,7,8,21,11,10
738,4331--17,電纜裝修工程,7,8,19,10,9
739,4331--18,自動門裝修工程,7,8,21,11,10
740,4332--11,冷凍、通風、空調系統裝修工程,6,6,17,10,7
741,4332--12,管道工程,7,8,19,10,9
742,4339--00,其他建築設備安裝,6,6,17,10,7
743,,建物完工裝修工程業,,,,,
744,4340--11,室內裝潢工程,7,9,24,12,12
745,4340--12,油漆粉刷、壁飾(紙)黏貼工程,7,8,21,11,10
746,4340--13,房屋設備安裝工程,7,8,21,11,10
747,4340--14,防水工程,7,8,21,11,10
748,4340--15,室內裝修工程,7,8,21,11,10
749,4340--99,其他建物完工裝修工程,7,10,25,11,14
750,,其他專門營造業,,,,,
751,4390--11,施工塔架吊裝工程(鷹架工程),7,14,37,18,19
752,4390--12,模板工程,7,9,22,11,11
753,4390--13,工作平台搭建工程,7,9,22,11,11
754,4390--14,起重工程,7,12,28,13,15
755,4390--99,未分類其他專門營造,7,8,19,10,9
756,G.批發及零售業,,,,,,
757,,商品批發經紀業,,,,,
758,4510--99,其他商品批發經紀,(10),20,75,47,28
759,,綜合商品批發業,,,,,
760,4520--00,綜合商品批發,5,8,15,6,9
761,,農產原料及活動物批發業,,,,,
762,4531--11,稻米批發,1,3,6,2,4
763,4531--12,豆類、麥類及其他雜糧批發,2,3,6,2,4
764,4531--13,種子批發,6,7,13,5,8
765,107年度營利事業各業所得額暨同業利潤標準,,,,,,
766,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
767,,,,毛利率,費用率,淨利率,
768,4532--11,切花、盆栽批發,6,11,24,9,15
769,4532--12,種苗批發,6,7,13,5,8
770,4532--13,農產品(花卉)批發市場承銷,1,1,7,6,1
771,4533--11,成畜批發,3,8,18,8,10
772,4533--14,幼畜(禽)、種畜(禽)批發,6,7,19,10,9
773,4533--15,農產品(活體家畜、家禽)批發市場承銷,1,1,7,6,1
774,4533--16,成禽批發,3,8,18,8,10
775,4539--11,天然蜂蜜批發,6,7,23,15,8
776,4539--12,生乳批發,6,7,14,6,8
777,4539--99,未分類其他農產原料批發,6,7,14,6,8
778,,食品、飲料及菸草製品批發業,,,,,
779,4541--11,蔬菜批發,5,6,15,8,7
780,4541--12,水果批發,5,6,15,8,7
781,4541--13,醃漬蔬果批發,6,7,14,6,8
782,4541--14,脫水蔬果批發,6,7,16,8,8
783,4541--15,農產品(果菜)批發市場承銷,1,1,7,6,1
784,4542--11,畜肉批發,5,8,18,8,10
785,4542--12,禽肉批發,5,8,18,8,10
786,4543--11,魚類批發,3,4,15,10,5
787,4543--12,醃漬水產品批發,6,7,14,6,8
788,4543--13,乾燥水產品批發,6,7,16,8,8
789,4543--14,農產品(魚)批發市場承銷,1,1,7,6,1
790,4543--99,其他水產品批發,3,4,12,7,5
791,4544--00,冷凍調理食品批發,6,10,23,11,12
792,4545--11,蛋類批發,4,5,13,7,6
793,4545--12,食用油脂批發,6,7,13,5,8
794,4545--13,乳製品(奶粉除外)批發,6,7,14,6,8
795,4545--14,奶粉批發,6,7,25,16,9
796,4546--11,國產菸酒批發,2,3,15,12,3
797,4546--12,進口菸酒批發,2,3,16,13,3
798,4547--00,非酒精飲料批發,6,7,18,10,8
799,4548--11,茶葉批發,6,7,19,10,9
800,4548--12,咖啡批發,6,7,18,10,8
801,4549--11,加工(精製)糖批發,6,6,13,6,7
802,4549--12,罐頭批發,6,7,17,9,8
803,4549--13,調味料(辛、香料除外)批發,6,7,13,5,8
804,4549--14,糖果餅乾批發,6,7,19,11,8
805,4549--15,西點麵包批發,6,7,20,11,9
806,4549--16,麵粉批發,3,4,9,4,5
807,4549--17,豆腐批發,5,6,17,10,7
808,4549--18,麵食品批發,6,7,14,6,8
809,4549--19,冰品批發,6,9,22,11,11
810,4549--20,保健食品批發,8,11,24,11,13
811,4549--21,動物飼品批發,4,5,15,9,6
812,4549--22,肉鬆、肉乾、火腿、臘味批發,6,8,19,9,10
813,4549--23,檳榔(青)批發,6,7,16,8,8
814,4549--24,鹽批發,3,7,13,5,8
815,4549--99,未分類其他食品批發,6,6,14,7,7
816,,布疋及服飾品批發業,,,,,
817,4551--11,絲織、麻織、棉織、毛織品批發,5,6,16,9,7
818,4551--12,人造纖維織品批發,6,7,21,13,8
819,4551--13,紡織紗批發,6,7,21,13,8
820,107年度營利事業各業所得額暨同業利潤標準,,,,,,
821,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
822,,,,毛利率,費用率,淨利率,
823,4551--99,其他布疋批發,6,7,21,13,8
824,4552--11,服裝批發,6,7,21,13,8
825,4552--12,內衣批發,6,7,23,15,8
826,4552--13,游泳衣褲批發,6,7,23,15,8
827,4552--14,真皮皮包、手提包批發,6,7,19,11,8
828,4552--15,"皮包、手提包(真皮皮包、手提包除外)批發",6,6,20,13,7
829,4552--16,手套、襪子批發,6,7,20,12,8
830,4552--17,帽子批發,6,7,23,15,8
831,4552--19,寵物服裝及其飾品配件批發,6,7,20,12,8
832,4552--99,其他服裝及其配件批發,6,7,20,12,8
833,4553--11,真皮鞋類及其配件批發,6,6,19,12,7
834,4553--12,"鞋類及其配件(真皮鞋類及其配件除外)批發",6,7,17,9,8
835,4559--11,"行李箱、旅行袋(箱)、背包、公事包、化粧箱批發",6,7,19,11,8
836,4559--12,洋傘批發,6,7,19,11,8
837,4559--13,帆布製品批發,6,7,20,12,8
838,4559--15,縫紉用品批發,6,7,21,12,9
839,4559--16,雨衣、雨鞋批發,6,7,20,12,8
840,4559--99,未分類其他服飾品批發,6,7,17,9,8
841,,家用器具及用品批發業,,,,,
842,4561--11,家電材料批發,6,7,16,8,8
843,4561--12,家用照明器材批發,6,7,15,7,8
844,4561--13,"家電(視聽設備及家用空調器具除外)批發",5,6,15,8,7
845,4561--14,家用空調器及其零件批發,6,7,15,7,8
846,4561--16,視聽設備批發,6,7,17,9,8
847,4561--99,其他家用電器批發,6,7,18,10,8
848,4562--11,國產家用家具批發,6,9,24,13,11
849,4562--12,進口家用家具批發,6,14,31,11,20
850,4562--13,廚櫃批發,6,7,22,13,9
851,4563--11,寢具批發,6,7,20,12,8
852,4563--12,草蓆、藤蓆批發,6,8,21,11,10
853,4563--13,地毯批發,6,11,25,10,15
854,4563--14,壁紙批發,6,11,25,10,15
855,4563--15,窗簾批發,6,11,25,10,15
856,4563--16,竹、木、藤製(藤蓆除外)家飾品批發,6,7,18,10,8
857,4563--99,其他家飾品批發,6,11,25,10,15
858,4564--11,家用攝影器材批發,6,7,19,10,9
859,4564--12,家用攝影機批發,5,6,18,10,8
860,4564--13,照相器材批發,6,7,19,10,9
861,4564--14,照相機批發,5,6,18,10,8
862,4565--11,鐘錶及鐘錶零件批發,6,7,21,12,9
863,4565--12,眼鏡及其零配件批發,6,9,22,11,11
864,4566--11,金(銀)飾批發,5,6,19,12,7
865,4566--12,珠寶批發,6,11,28,13,15
866,4566--13,"金(銀)條、金(銀)塊、金(銀)錠及金(銀)幣批發",2,2,5,2,3
867,4567--11,牙膏、潔牙粉批發,6,7,15,7,8
868,4567--99,其他清潔用品批發,6,7,15,7,8
869,4569--11,免洗餐具批發,6,6,18,10,8
870,107年度營利事業各業所得額暨同業利潤標準,,,,,,
871,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
872,,,,,毛利率,費用率,淨利率
873,4569--12,家用瓦斯器具批發,6,7,22,13,9
874,4569--13,衛生用紙批發,6,7,13,5,8
875,4569--14,紙尿褲批發,6,7,21,12,9
876,4569--15,刷子、掃帚批發,4,6,17,10,7
877,4569--16,玻璃器皿及餐具批發,6,7,18,9,9
878,4569--17,陶瓷器皿及餐具批發,6,8,18,8,10
879,4569--18,小件家用器皿批發,6,7,19,10,9
880,4569--99,未分類其他家用器具及用品批發,4,6,17,10,7
881,,藥品、醫療用品及化粧品批發業,,,,,
882,4571--11,中藥批發,6,7,19,11,8
883,4571--12,西藥批發,6,7,22,14,8
884,4571--13,醫療耗材批發,6,7,21,12,9
885,4571--14,動物藥品批發,6,9,22,11,11
886,4571--99,其他藥品及醫療用品批發,6,9,22,11,11
887,4572--11,洗髮精、潤髮精批發,6,7,15,7,8
888,4572--12,香皂、沐浴乳、洗面皂批發,6,7,15,7,8
889,4572--13,整髮劑、染髮劑批發,6,11,26,13,13
890,4572--14,香水、香粉批發,6,11,26,13,13
891,4572--99,其他化粧品批發,6,11,28,15,13
892,,文教育樂用品批發業,,,,,
893,4581--11,文具批發,6,7,21,13,8
894,4581--12,書籍、雜誌批發,6,7,23,14,9
895,4581--13,教育用標本批發,6,7,17,8,9
896,4582--11,自行車及自行車零件批發,6,7,17,9,8
897,4582--12,登山用品、露營用品批發,6,7,20,12,8
898,4582--13,釣具批發,6,8,19,9,10
899,4582--99,其他運動用品及器材批發,6,7,20,12,8
900,4583--11,內建遊戲軟體之遊樂器批發,6,7,20,11,9
901,4583--12,玩具批發,6,8,20,10,10
902,4583--13,影音光碟批發,6,7,21,12,9
903,4583--14,樂器批發,6,7,21,12,9
904,4583--99,其他玩具及娛樂用品批發,6,7,21,13,8
905,,建材批發業,,,,,
906,4611--11,木材批發,6,7,19,11,8
907,4611--12,竹材批發,6,7,20,11,9
908,4611--13,合板批發,5,6,18,11,7
909,4612--11,水泥及水泥製品批發,6,7,18,10,8
910,4612--12,石灰及石灰製品批發,6,7,19,11,8
911,4612--13,磚瓦批發,6,7,19,11,8
912,4612--14,砂石批發,5,6,18,11,7
913,4613--11,貼面石材批發,6,7,18,10,8
914,4613--12,瓷磚批發,6,7,18,10,8
915,4613--13,衛浴設備批發,6,7,20,11,9
916,4614--00,漆料及塗料批發,6,6,20,12,8
917,4615--11,金屬門窗批發,6,7,21,12,9
918,4615--12,金屬結構及建築組件批發,6,7,20,11,9
919,4615--13,貨櫃屋批發,6,7,19,10,9
920,4615--14,建材五金(銲條)批發,6,7,20,12,8
921,4615--15,"建材五金(螺絲、螺帽、鉚釘等金屬製品)批發",6,6,19,12,7
922,4615--16,建材五金(基本金屬)批發,6,6,18,11,7
923,4615--17,金屬手工具批發,6,6,19,12,7
924,107年度營利事業各業所得額暨同業利潤標準,,,,,,
925,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
926,,,,毛利率,費用率,淨利率,
927,4615--99,其他金屬建材批發,6,7,19,11,8
928,4619--11,纖維板批發,6,7,19,10,9
929,4619--12,矽酸鈣板批發,6,7,19,10,9
930,4619--13,平板玻璃批發,6,7,19,11,8
931,4619--14,玻璃纖維建材製品批發,6,7,21,12,9
932,4619--15,塑膠、橡膠建材製品批發,6,7,17,9,8
933,4619--99,未分類其他建材批發,6,7,19,10,9
934,,化學原材料及其製品批發業,,,,,
935,4620--11,肥料批發,6,7,14,6,8
936,4620--12,塑膠原料批發,6,7,18,10,8
937,4620--13,合成橡膠原料批發,6,7,17,9,8
938,4620--14,非食用動植物油脂批發,6,8,22,12,10
939,4620--15,染料、顏料批發,6,7,20,11,9
940,4620--16,農藥批發,6,7,13,5,8
941,4620--17,化學溶劑、工業添加劑批發,6,7,19,10,9
942,4620--18,油墨批發,6,6,20,12,8
943,4620--99,其他化學原材料及其製品批發,6,7,19,11,8
944,,燃料及相關產品批發業,,,,,
945,4631--11,煤油批發,6,7,18,10,8
946,4631--12,液化石油氣批發,4,7,18,10,8
947,4631--13,柴油批發,5,6,16,9,7
948,4631--15,潤滑油批發,6,7,18,10,8
949,4639--11,煤、焦炭批發,6,6,16,8,8
950,4639--99,未分類其他燃料批發,6,7,18,9,9
951,,機械器具批發業,,,,,
952,4641--11,電腦及電腦週邊設備批發,6,6,17,10,7
953,4641--12,電腦套裝軟體批發,6,7,19,11,8
954,4642--11,電子器材、電子設備批發,6,7,17,9,8
955,4642--12,通訊傳播設備(電話、手機除外)批發,6,7,17,9,8
956,4642--13,電話機批發,6,7,17,9,8
957,4642--14,手機及手機週邊零配件批發,6,7,19,9,10
958,4642--15,空白光碟片批發,6,8,22,12,10
959,4642--99,其他電子、通訊設備及其零組件批發,6,7,17,9,8
960,4643--11,食品飲料機械批發,6,7,20,11,9
961,4643--13,紡織及成衣機械批發,6,7,18,10,8
962,4643--16,造紙印刷機械批發,6,7,19,11,8
963,4643--17,農業及園藝機械批發,6,7,14,6,8
964,4643--18,木材加工用機械批發,6,7,20,11,9
965,4643--19,建築及礦業用機械批發,6,7,20,11,9
966,4643--20,金屬加工用機械批發,6,7,20,11,9
967,4644--11,辦公室家具批發,6,7,19,11,8
968,4644--99,其他辦公用機械器具批發,6,7,19,11,8
969,4649--11,運輸工具(機車、汽車除外)批發,6,7,20,11,9
970,4649--13,消防設備批發,6,8,23,13,10
971,4649--14,量測設備批發,6,8,22,12,10
972,4649--15,醫療機械設備批發,6,9,22,12,10
973,4649--16,舞台音響(燈光)設備批發,6,7,20,11,9
974,4649--17,產業用光學儀器批發,6,8,20,10,10
975,4649--18,實驗設備批發,6,8,18,8,10
976,4649--19,產業用飲用水設備批發,6,7,18,10,8
977,4649--20,電力設備器材批發,6,7,19,11,8
978,4649--21,原動機批發,6,7,19,11,8
979,107年度營利事業各業所得額暨同業利潤標準,,,,,,
980,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
981,,,,毛利率,費用率,淨利率,
982,4649--22,通用電池批發,6,7,17,9,8
983,4649--99,未分類其他機械器具批發,6,7,20,11,9
984,,汽機車及其零配件、用品批發業,,,,,
985,4651--11,全新汽車批發,6,8,19,9,10
986,4652--11,全新機車批發,6,8,20,11,9
987,4653--11,汽車零件、汽車百貨批發,6,7,19,11,8
988,4653--12,汽車音響批發,6,8,18,9,9
989,4653--13,汽車冷氣批發,6,8,16,7,9
990,4653--14,機車零件、機車百貨批發,6,7,19,11,8
991,4653--15,汽車輪胎批發,5,6,16,9,7
992,4653--16,機車輪胎批發,6,7,17,9,8
993,,其他專賣批發業,,,,,
994,4691--11,廢紙批發,3,4,17,12,5
995,4691--12,廢五金批發,3,4,17,12,5
996,4691--99,其他回收物料批發,3,4,17,12,5
997,4699--11,火柴、打火機批發,6,7,13,5,8
998,4699--12,宗教、喪葬用品批發,6,9,19,8,11
999,4699--13,鏡子批發,6,7,18,9,9
1000,4699--14,紙盒、紙袋批發,6,7,18,10,8
1001,4699--16,礦物(寶石除外)批發,6,7,20,12,8
1002,4699--17,手工藝品批發,6,7,23,14,9
1003,4699--18,皮革批發,6,7,19,11,8
1004,4699--20,雕塑品批發,6,9,25,14,11
1005,4699--21,中古商品(汽機車及其零配件除外)批發,6,8,20,10,10
1006,4699--22,寵物用品批發,6,8,20,10,10
1007,4699--23,紙張(板)批發,6,6,16,9,7
1008,4699--24,陶土、黏土批發,6,8,21,11,10
1009,4699--99,其他未分類專賣批發,6,8,21,11,10
1010,,綜合商品零售業,,,,,
1011,4711--12,直營連鎖式便利商店,5,5,19,13,6
1012,4711--13,加盟連鎖式便利商店,5,5,19,13,6
1013,4711--14,"加盟連鎖式便利商店(無商品進、銷貨行為)",7,10,62,50,12
1014,4712--00,百貨公司,6,8,25,15,10
1015,4719--12,零售式量販店,6,6,19,12,7
1016,4719--13,雜貨店,5,5,19,13,6
1017,4719--16,超級市場,5,5,19,13,6
1018,4719--99,未分類其他綜合商品零售,5,6,19,12,7
1019,,食品、飲料及菸草製品零售業,,,,,
1020,4721--11,蔬菜零售,5,6,18,11,7
1021,4721--12,水果零售,5,7,18,9,9
1022,4721--13,醃漬蔬果零售,6,7,18,10,8
1023,4721--14,脫水蔬果零售,6,7,18,9,9
1024,4722--11,畜肉零售,5,8,18,9,9
1025,4722--12,禽肉零售,5,8,18,9,9
1026,4723--11,水產品零售,3,4,18,13,5
1027,4723--12,醃漬水產品零售,6,7,18,10,8
1028,4723--13,乾燥水產品零售,6,7,18,9,9
1029,4729--11,調理包食品零售,6,11,26,12,14
1030,4729--12,食用油脂零售,6,7,18,9,9
1031,4729--13,菸酒零售,2,3,8,5,3
1032,4729--14,飲料零售,6,7,19,10,9
1033,107年度營利事業各業所得額暨同業利潤標準,,,,,,
1034,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
1035,,,,,毛利率,費用率,淨利率
1036,4729--15,茶葉零售,6,9,23,12,11
1037,4729--16,蛋類零售,4,5,17,11,6
1038,4729--17,加工(精製)糖零售,6,6,15,7,8
1039,4729--18,咖啡零售,6,7,19,10,9
1040,4729--19,肉鬆、肉乾、火腿、臘味零售,6,9,21,10,11
1041,4729--20,調味料零售,6,7,16,7,9
1042,4729--21,糖果餅乾零售,6,8,24,14,10
1043,4729--22,西點麵包零售,6,8,24,14,10
1044,4729--23,罐頭食品零售,6,7,22,14,8
1045,4729--24,稻米零售,2,4,7,2,5
1046,4729--25,豆類、麥類及其他雜糧零售,2,4,7,2,5
1047,4729--26,冰品零售,6,10,25,12,13
1048,4729--27,豆類製品零售,5,7,21,13,8
1049,4729--28,麵食品零售,6,7,14,6,8
1050,4729--29,餐盒零售,7,9,25,13,12
